iter	RMSE
0	13.17157406
1	12.63849517
2	12.13635415
3	11.65488248
4	11.20296473
5	10.76870708
6	10.35657058
7	9.969268855
8	9.606975479
9	9.259788066
10	8.937560832
11	8.631878373
12	8.343137072
13	8.073346598
14	7.818798071
15	7.578364643
16	7.355996939
17	7.146570589
18	6.943894638
19	6.759120671
20	6.587672801
21	6.419731027
22	6.268715868
23	6.123952438
24	5.989455025
25	5.864506926
26	5.751044049
27	5.644094175
28	5.542377649
29	5.450838845
30	5.364192775
31	5.282592024
32	5.205800635
33	5.136686898
34	5.069303591
35	5.009836126
36	4.951422056
37	4.898487814
38	4.847319439
39	4.799972521
40	4.755725627
41	4.71452523
42	4.677565338
43	4.64472277
44	4.611270475
45	4.575477424
46	4.543144569
47	4.514578554
48	4.490404915
49	4.466674076
50	4.444867541
51	4.420791256
52	4.400569729
53	4.381222024
54	4.363018564
55	4.34544738
56	4.327231729
57	4.312012362
58	4.298134229
59	4.284373148
60	4.271349858
61	4.258005346
62	4.244325855
63	4.233836553
64	4.223407859
65	4.213957647
66	4.201225428
67	4.188447778
68	4.180146269
69	4.169107639
70	4.161658999
71	4.152988431
72	4.144630243
73	4.136558281
74	4.129984099
75	4.122470957
76	4.115978823
77	4.109075985
78	4.103674804
79	4.094199878
80	4.089462641
81	4.084866497
82	4.079345246
83	4.074258539
84	4.069317918
85	4.060791861
86	4.053586145
87	4.049945203
88	4.043839462
89	4.038662021
90	4.035032883
91	4.030281713
92	4.027275866
93	4.02218388
94	4.018685795
95	4.014815379
96	4.011613981
97	4.008162367
98	4.005319778
99	4.00261154
100	3.998920002
101	3.996065759
102	3.992810429
103	3.986964164
104	3.984174892
105	3.981609026
106	3.978427407
107	3.976316703
108	3.971318665
109	3.968783988
110	3.967028567
111	3.963066385
112	3.961083303
113	3.95854971
114	3.956868627
115	3.953501127
116	3.951341324
117	3.949787353
118	3.947718762
119	3.942612014
120	3.938031806
121	3.933616491
122	3.931326846
123	3.927644237
124	3.924439034
125	3.921942016
126	3.92067335
127	3.917841408
128	3.914477499
129	3.912719373
130	3.910128511
131	3.908288173
132	3.905441281
133	3.903565899
134	3.902079776
135	3.900123888
136	3.89748936
137	3.896022218
138	3.892182268
139	3.889882078
140	3.888421878
141	3.885717793
142	3.884568056
143	3.882303564
144	3.881042367
145	3.879129625
146	3.877707232
147	3.875806803
148	3.873932165
149	3.872478928
150	3.869873834
151	3.868200386
152	3.865859411
153	3.864669811
154	3.8636951
155	3.862349204
156	3.861217653
157	3.859068606
158	3.857980385
159	3.855706545
160	3.854670943
161	3.853771827
162	3.852630991
163	3.851617109
164	3.849538228
165	3.847770833
166	3.846437124
167	3.845520623
168	3.843629111
169	3.842761741
170	3.841793038
171	3.840132558
172	3.838790002
173	3.837728512
174	3.836606926
175	3.835434407
176	3.834357053
177	3.832847726
178	3.830863889
179	3.829440961
180	3.827495563
181	3.826084659
182	3.824991384
183	3.823801143
184	3.822981473
185	3.822214406
186	3.821178159
187	3.820425543
188	3.818754606
189	3.817748787
190	3.816033935
191	3.815478593
192	3.814492853
193	3.81328757
194	3.812621009
195	3.811344552
196	3.809669951
197	3.808588168
198	3.806914675
199	3.80594119
200	3.805014485
201	3.804381312
202	3.803424148
203	3.802328985
204	3.801301918
205	3.800374926
206	3.79996184
207	3.798884589
208	3.798103501
209	3.797265285
210	3.795494068
211	3.794521828
212	3.793639263
213	3.792107055
214	3.791338339
215	3.79013429
216	3.789278923
217	3.788707035
218	3.78751957
219	3.786380505
220	3.785427288
221	3.784602724
222	3.783969764
223	3.782915422
224	3.782181848
225	3.781414408
226	3.780672417
227	3.779790684
228	3.778592151
229	3.776756971
230	3.775350435
231	3.774741771
232	3.774212216
233	3.772496919
234	3.771737707
235	3.770967876
236	3.770043281
237	3.769088205
238	3.768523471
239	3.767981788
240	3.76677624
241	3.766169194
242	3.765609618
243	3.764588145
244	3.763844344
245	3.762735535
246	3.760982346
247	3.760456996
248	3.759671784
249	3.759196367
250	3.757718012
251	3.757176828
252	3.756449208
253	3.756081543
254	3.755633174
255	3.755206775
256	3.754577619
257	3.754128205
258	3.753505589
259	3.75257083
260	3.751951731
261	3.750716603
262	3.750578543
263	3.74992629
264	3.749174582
265	3.747192713
266	3.746447307
267	3.745165798
268	3.743471501
269	3.742739011
270	3.74114558
271	3.740521183
272	3.739801207
273	3.739234755
274	3.738873938
275	3.738368628
276	3.737257495
277	3.736028531
278	3.735104914
279	3.734229238
280	3.733738231
281	3.732086616
282	3.731276631
283	3.730668241
284	3.730176227
285	3.729378158
286	3.728678556
287	3.72831263
288	3.727459801
289	3.726229781
290	3.725803193
291	3.724898877
292	3.724220387
293	3.723620703
294	3.722695372
295	3.722105799
296	3.721703591
297	3.720676042
298	3.720312061
299	3.719493759
300	3.719256188
301	3.7189731
302	3.717777278
303	3.71720679
304	3.717092166
305	3.716600322
306	3.716208961
307	3.715805879
308	3.715028996
309	3.714977889
310	3.714396998
311	3.713576997
312	3.71313177
313	3.71202584
314	3.711602708
315	3.711035635
316	3.710488417
317	3.710077189
318	3.709666249
319	3.709239935
320	3.709054601
321	3.708664426
322	3.708096817
323	3.707756704
324	3.707285122
325	3.70703231
326	3.706708191
327	3.706408804
328	3.705953168
329	3.70549803
330	3.704897997
331	3.704447335
332	3.70397695
333	3.703611375
334	3.703414844
335	3.703070155
336	3.702657551
337	3.702035988
338	3.701586454
339	3.701110995
340	3.700306251
341	3.700176766
342	3.699236871
343	3.698924491
344	3.698457806
345	3.698314846
346	3.697756038
347	3.697077549
348	3.696484662
349	3.6961034
350	3.696061244
351	3.694840373
352	3.694581901
353	3.694317851
354	3.693878327
355	3.693474047
356	3.693322966
357	3.693037815
358	3.692899068
359	3.692259532
360	3.691815412
361	3.691443217
362	3.690806111
363	3.69034732
364	3.689883038
365	3.689036802
366	3.688707952
367	3.688403261
368	3.687929041
369	3.687789225
370	3.687495578
371	3.686957028
372	3.686845881
373	3.686427914
374	3.686073368
375	3.685798415
376	3.685369942
377	3.685139848
378	3.684369355
379	3.683823243
380	3.683161184
381	3.682868662
382	3.682214218
383	3.681705484
384	3.681375148
385	3.68109132
386	3.680583649
387	3.680210296
388	3.679362378
389	3.678771135
390	3.678573569
391	3.678158386
392	3.677863118
393	3.677483379
394	3.677282042
395	3.67629211
396	3.675902799
397	3.675556299
398	3.675159936
399	3.674569258
400	3.674160128
401	3.673811932
402	3.673481839
403	3.673208567
404	3.672859129
405	3.672715428
406	3.672570165
407	3.672206231
408	3.672054018
409	3.671467922
410	3.671095527
411	3.670418227
412	3.669948068
413	3.669810424
414	3.669557427
415	3.668890175
416	3.668725512
417	3.668534678
418	3.667910402
419	3.667642804
420	3.667301035
421	3.6669753
422	3.666070639
423	3.665627324
424	3.665295913
425	3.665197793
426	3.664901766
427	3.664608205
428	3.664351777
429	3.66374403
430	3.663526812
431	3.66332866
432	3.662914729
433	3.662618615
434	3.661673723
435	3.661594007
436	3.661318199
437	3.660976106
438	3.660478895
439	3.660192994
440	3.659751483
441	3.659539044
442	3.659448955
443	3.659136426
444	3.658886303
445	3.658604484
446	3.658271839
447	3.657840298
448	3.657662432
449	3.657535455
450	3.657162159
451	3.657084513
452	3.656303025
453	3.655939137
454	3.655797901
455	3.655700183
456	3.654968997
457	3.654733659
458	3.654384593
459	3.653865885
460	3.653748515
461	3.653425625
462	3.653090749
463	3.652555335
464	3.651859755
465	3.651772068
466	3.651706483
467	3.651505589
468	3.651048383
469	3.650777646
470	3.650564345
471	3.65027491
472	3.64973966
473	3.649544527
474	3.649152185
475	3.648776292
476	3.648566359
477	3.648516884
478	3.648392203
479	3.648150635
480	3.647860263
481	3.64757378
482	3.647408217
483	3.647167054
484	3.646885665
485	3.646450825
486	3.645869669
487	3.645554807
488	3.64504412
489	3.644983251
490	3.644666429
491	3.644422147
492	3.644093139
493	3.643865462
494	3.643833597
495	3.643689941
496	3.643301774
497	3.6429501
498	3.642894075
499	3.642501103
