iter	Passed	Remaining
0	1901	948815
1	3501	871930
2	5436	900580
3	6856	850191
4	8292	820950
5	10538	867644
6	12027	847108
7	13489	829597
8	15440	842385
9	17266	846036
10	18945	842214
11	20500	833677
12	21943	822028
13	23441	813751
14	24773	801005
15	26094	789360
16	27392	778276
17	28810	771488
18	30333	767904
19	31795	763097
20	33218	757700
21	34550	750689
22	35921	744978
23	37399	741766
24	38888	738872
25	40331	735276
26	41816	732569
27	43284	729656
28	44522	723112
29	45947	719848
30	47353	716416
31	48834	714210
32	50466	714170
33	52105	714151
34	53568	711693
35	55077	709884
36	56605	708336
37	58157	707071
38	59637	704940
39	61298	704932
40	63113	706568
41	64606	704517
42	66211	703690
43	67539	699953
44	69013	697803
45	70732	698095
46	72571	699467
47	74030	697118
48	75503	694936
49	77170	694535
50	78721	693054
51	80285	691690
52	81777	689709
53	83336	688301
54	84765	685833
55	86478	685650
56	87956	683589
57	89564	682540
58	91070	680710
59	92794	680492
60	93966	676248
61	95302	673266
62	96467	669150
63	98026	667802
64	99678	667079
65	101278	665982
66	102671	663535
67	104078	661206
68	105671	660063
69	107095	657875
70	108986	658524
71	110706	658086
72	112225	656441
73	113871	655529
74	115150	652521
75	116688	650999
76	117913	647756
77	119503	646545
78	121309	646474
79	122862	645025
80	124314	643057
81	125574	640122
82	127037	638246
83	128519	636477
84	130067	635033
85	131365	632387
86	132598	629463
87	134090	627787
88	135581	626113
89	137241	625209
90	138931	624427
91	140601	623536
92	142119	621965
93	143791	621056
94	145274	619326
95	146698	617354
96	148328	616252
97	149656	613896
98	151268	612713
99	153015	612063
100	154718	611214
101	156301	609882
102	157956	608822
103	159464	607191
104	160738	604681
105	162341	603420
106	163655	601089
107	165411	600382
108	166577	597539
109	167902	595290
110	169381	593599
111	171015	592446
112	172508	590804
113	173939	588954
114	175324	586955
115	176873	585513
116	178396	583980
117	180078	582966
118	181617	581481
119	183138	579937
120	184414	577630
121	185855	575846
122	187368	574293
123	188813	572530
124	190294	570884
125	191720	569075
126	193148	567278
127	194637	565665
128	195993	563672
129	197521	562176
130	199132	560915
131	200603	559257
132	201981	557347
133	203654	556249
134	205223	554863
135	206802	553500
136	208338	552021
137	210020	550923
138	211340	548877
139	212428	546243
140	213970	544789
141	215371	542979
142	217158	542138
143	218656	540567
144	220158	539007
145	221800	537790
146	223159	535887
147	224526	534009
148	226151	532745
149	227689	531276
150	229033	529356
151	230509	527746
152	231733	525565
153	233158	523850
154	234803	522627
155	236407	521307
156	238029	520025
157	239401	518198
158	241161	517208
159	242514	515344
160	244186	514156
161	245514	512245
162	247087	510850
163	248733	509600
164	250306	508198
165	251647	506327
166	252861	504208
167	254336	502618
168	255540	500495
169	256946	498779
170	258561	497465
171	260207	496210
172	261663	494589
